5T35_linkernet_33,-10.4
5T35_linkernet_34,-12.9
5T35_linkernet_35,-13.1
5T35_linkernet_36,-10.8
5T35_linkernet_37,-11.3
5T35_linkernet_38,-12.5
5T35_linkernet_39,-9.8
5T35_linkernet_4,-12.6
5T35_linkernet_40,-12.8
5T35_linkernet_41,-12.3
5T35_linkernet_42,-11.7
5T35_linkernet_43,-13
5T35_linkernet_44,-13
5T35_linkernet_45,-13
5T35_linkernet_46,-11.2
5T35_linkernet_47,-11.6
5T35_linkernet_48,-12.9
5T35_linkernet_49,-11.7
5T35_linkernet_5,-10
5T35_linkernet_50,-13
5T35_linkernet_51,-11.6
5T35_linkernet_52,-12.7
5T35_linkernet_53,-10.2
5T35_linkernet_54,-12.3
5T35_linkernet_55,-12.7
5T35_linkernet_56,-11.8
5T35_linkernet_57,-13
5T35_linkernet_58,-13.4
5T35_linkernet_59,-11
5T35_linkernet_6,-11.6
5T35_linkernet_60,-10
5T35_linkernet_61,-8.3
5T35_linkernet_62,-12.5
5T35_linkernet_63,-10.9
5T35_linkernet_64,-12.3
5T35_linkernet_65,-12.5
5T35_linkernet_66,-12.9
5T35_linkernet_67,-12.4
5T35_linkernet_68,-11.4
5T35_linkernet_69,-13
5T35_linkernet_7,-10.7
5T35_linkernet_70,-10.4
5T35_linkernet_71,-12.6
5T35_linkernet_72,-12.3
5T35_linkernet_73,-11.3
5T35_linkernet_74,-10.5
5T35_linkernet_75,-12.5
5T35_linkernet_76,-11.9
5T35_linkernet_77,-10.2
5T35_linkernet_78,-10.2
5T35_linkernet_79,-13.1
5T35_linkernet_8,-12.8
5T35_linkernet_80,-12.1
5T35_linkernet_81,-10.9
5T35_linkernet_82,-13.3
5T35_linkernet_83,-11.3
5T35_linkernet_84,-11.8
5T35_linkernet_85,-12.8
5T35_linkernet_86,-10.6
5T35_linkernet_87,-10.5
5T35_linkernet_88,-10
5T35_linkernet_89,-13
5T35_linkernet_9,-12.4
5T35_linkernet_90,-12.1
5T35_linkernet_91,-12.9
5T35_linkernet_92,-13.1
5T35_linkernet_93,-11.9
5T35_linkernet_94,-11.4
5T35_linkernet_95,-9.9
5T35_linkernet_96,-12.4
5T35_linkernet_97,-10.8
5T35_linkernet_98,-11.5
5T35_linkernet_99,-10.9
